0,1,2,3,4,5
1,10.317432,1.810987,3.49278,273.438431,8796.109164
1,10.799664,2.753583,3.545394,235.481793,9063.107109
1,12.717061,11.68554,4.028828,139.996422,11703.222429
2,14.235313,2.829405,4.736465,123.01019,16175.464921
2,12.405844,15.709794,5.749618,227.179268,23835.600369
2,21.048707,0.757999,6.545172,4.725644,30888.033497
3,15.565197,13.595043,4.547636,107.914305,14911.435947
3,25.840769,6.633967,6.245621,126.335106,28125.438582
3,33.26967,14.899952,2.068219,330.8011,3084.191358
4,19.990425,12.229829,5.906717,221.219335,25155.935216
4,17.050942,-5.239708,20.53073,171.50939,303918.294305
4,5.577355,-3.393072,8.445768,319.299167,51431.165318
4,15.022788,4.870222,4.22114,338.688829,12847.174771
5,9.613943,4.944304,6.42139,202.618653,29730.774323
5,8.940933,3.113369,5.569307,238.55254,22364.04909
5,24.303962,9.445872,15.899871,181.161958,182278.426857
5,26.145694,4.349942,5.168474,149.393407,19260.728843
6,30.730433,9.387341,9.283082,190.829621,62134.448526
6,30.55613,11.931382,8.836734,95.695277,56303.016682
6,27.926889,4.02844,3.123297,279.372861,7033.549492
6,10.775036,1.434168,20.929119,52.585382,315827.505252
7,33.022769,7.612331,14.364511,222.485452,148774.943471
7,-5.974224,-4.099355,14.176275,282.628774,144901.311757
7,27.634863,17.585946,6.243171,67.219643,28103.380874
7,14.535081,4.802099,4.945784,9.897258,17636.745248
7,25.487519,21.579786,4.96765,231.255493,17793.032679
8,6.621488,-3.442271,3.51403,351.573206,8903.463839
8,18.265592,10.25414,13.217246,222.232783,125959.239414
8,30.262918,7.965068,5.46473,314.054676,21532.056524
8,1.739975,-0.826497,11.574845,338.572341,96600.284602
8,21.263501,-1.09064,10.213139,155.778649,75208.436126
9,14.279095,6.224392,9.380464,284.823205,63444.902895
9,19.366889,13.294295,13.841793,23.947211,138144.230054
9,16.359024,-1.345368,4.841446,77.817537,16900.452807
9,18.119834,22.432954,5.389459,6.135319,20942.974613
9,5.11449,4.399059,6.181072,82.83923,27547.086525
10,20.800542,18.424151,2.664169,71.483484,5117.663171
10,25.964,9.052635,6.653587,85.182205,31919.765999
10,3.585495,4.726393,5.22101,139.05029,19654.282303
10,27.497933,12.230087,2.900149,97.341389,6064.412282
10,-5.049016,3.895653,3.733908,249.011651,10052.53025
10,12.181637,-12.644217,6.955043,134.037016,34877.692868
11,16.450046,4.015401,10.209529,339.72833,75155.275263
11,18.625045,1.812566,13.888167,128.417685,139071.441862
11,8.06329,7.055559,12.061779,121.998515,104898.861828
11,8.042065,4.584804,13.25746,220.848613,126726.86628
11,18.118094,5.412166,4.575436,245.384057,15094.29952
11,0.860311,1.050604,13.680219,143.266749,134937.972632
12,9.337513,6.879288,3.043114,256.343744,6677.048673
12,25.94315,9.930616,8.503812,318.870276,52140.518337
12,23.02749,-1.351678,11.643944,231.206284,97757.099939
12,18.9308,5.170208,8.400412,57.524641,50880.256701
12,27.160021,4.59062,8.172061,155.845281,48151.663331
12,11.693332,-2.318098,9.255334,317.773909,61763.549584
13,10.350793,-1.169706,3.916397,352.731894,11059.141878
13,13.709133,-9.099036,4.00869,196.424701,11586.52162
13,20.190392,2.694475,5.971866,170.116049,25713.91004
13,24.502647,20.265242,6.262512,306.029403,28277.770584
13,16.692947,4.652914,3.037691,293.135578,6653.2711
13,20.314786,-9.849199,9.112693,204.161961,59874.458308
13,16.354022,8.9547,5.89191,48.619711,25029.9635
14,13.938468,10.439606,1.870051,123.199649,2521.477488
14,-5.167472,4.846628,8.585613,85.043757,53148.464881
14,23.734153,9.276567,7.345203,272.566719,38900.541516
14,16.743017,3.722197,7.601519,325.343705,41662.835904
14,13.326236,0.001821,7.439677,146.237895,39907.659949
14,20.262097,4.438281,3.662585,93.900596,9672.158075
14,10.976378,1.169552,5.436965,137.307391,21313.813892
15,23.706911,9.259303,7.114822,75.044677,36498.59694
15,-4.767402,11.15119,6.033205,245.34603,26244.856944
15,1.011123,11.053477,7.33402,25.288734,38782.18511
15,10.546878,-17.268811,14.9414,93.811701,160964.695169
15,16.106952,-1.284388,13.775286,160.259031,136819.907496
15,24.89394,13.967939,4.871672,27.935517,17112.133906
15,10.798148,31.256349,1.025164,30.154678,757.765988
16,10.779118,-0.048531,8.416331,209.0937,51073.274604
16,16.385269,-6.891332,3.207211,247.331366,7416.57266
16,3.143447,6.861537,7.25113,306.813679,37910.490681
16,18.994398,-4.510626,13.724584,156.147474,135814.599921
16,14.134842,10.695831,8.124809,82.304204,47596.430793
16,19.170738,31.327462,10.547116,28.869667,80207.602381
16,12.18817,3.720851,9.397501,77.442006,63675.573229
16,20.380858,-7.323648,4.487165,227.362836,14517.511219
17,22.711737,15.164945,4.527607,83.739919,14780.377011
17,16.708969,8.489512,3.862636,252.583844,10757.607427
17,34.358513,3.108749,16.788858,200.039593,203231.203325
17,18.571973,8.000439,6.409106,349.024033,29617.129201
17,6.518085,-4.888066,6.792885,143.248645,33270.289786
17,15.497369,5.606828,11.240337,119.066458,91097.550451
17,13.646327,7.843242,5.480394,51.084795,21655.67385
17,11.102761,11.52132,14.185406,74.513184,145088.039913
18,19.448458,-1.154849,4.70505,108.274495,15961.60606
18,6.397722,11.955707,8.509993,290.390717,52216.342004
18,0.696271,3.768276,4.664452,33.412425,15687.342236
18,9.431276,15.21482,15.334496,351.755143,169545.82796
